Swift_Ref,Core_Ref,Value_Date,Currency,Amount,Swift_Sender,Swift_Receiver,Ordering_Customer,Beneficiary,Debit_Credit,Nostro_Account,Core_Posting_Status,Recon_Status
GS0DUGH121TSDG0,CORE0001,2025-05-12,EUR,39.42,GSCRUS30XXXX,BARCGB20XXXX,ABC LTD,GSIL,DEBIT,NOSTRO_EUR_001,POSTED,MATCHED
GS0DUGH121TSDG1,CORE0002,2025-05-15,USD,1250.00,GSCRUS30XXXX,CITIUS33XXXX,XYZ CORP,GLOBAL TECH LLC,DEBIT,NOSTRO_USD_001,POSTED,MATCHED
GS0DUGH121TSDG2,CORE0003,2025-05-15,EUR,8750.55,GSCRUS30XXXX,DEUTDEFFXXXX,ALPHA GMBH,BETA AG,DEBIT,NOSTRO_EUR_001,POSTED,MATCHED
GS0DUGH121TSDG3,CORE0004,2025-05-15,GBP,5400.75,GSCRUS30XXXX,BNPAFRPPXXXX,OMEGA LTD,DELTA SARL,DEBIT,NOSTRO_GBP_001,POSTED,MATCHED
GS0DUGH121TSDG4,CORE0005,2025-05-15,EUR,125.00,GSCRUS30XXXX,HSBCGB2LXXXX,SIGMA LTD,THETA LTD,DEBIT,NOSTRO_EUR_001,POSTED,MATCHED
GS0DUGH121TSDG5,CORE0006,2025-05-15,USD,25000.00,GSCRUS30XXXX,BOFAUS3NXXXX,DELTA INC,OMEGA INC,DEBIT,NOSTRO_USD_001,POSTED,MATCHED
GS0DUGH121TSDG6,CORE0007,2025-05-15,CHF,9850.30,GSCRUS30XXXX,UBSWCHZHXXXX,ALPINE SA,MOUNTAIN AG,DEBIT,NOSTRO_CHF_001,POSTED,MATCHED
GS0DUGH121TSDG7,CORE0008,2025-05-15,AUD,4300.00,GSCRUS30XXXX,NATAAU330XXX,PACIFIC PTY,OCEANIC PTY,DEBIT,NOSTRO_AUD_001,POSTED,MATCHED
GS0DUGH121TSDG8,CORE0009,2025-05-15,INR,750000.00,GSCRUS30XXXX,HDFCINBBXXXX,INDIA EXPORTS,GLOBAL IMPORTS,DEBIT,NOSTRO_INR_001,POSTED,MATCHED
GS0DUGH121TSDG9,CORE0010,2025-05-15,HKD,120000.00,GSCRUS30XXXX,SCBLHKHHXXXX,ASIA TRADING,PACIFIC HOLDINGS,DEBIT,NOSTRO_HKD_001,POSTED,MATCHED
GS0DUGH121TSDG10,CORE0011,2025-05-15,EUR,64000.90,GSCRUS30XXXX,RABONL2UXXXX,EUROPE BV,DELTA BV,DEBIT,NOSTRO_EUR_001,POSTED,MATCHED
